model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc
1.0,11889334.0,8673112.0,56918637.0,2251144.0,19354016.0,56852477.0,0.088346
1.0,11913646.0,8604105.0,58012580.0,2540266.0,20832748.0,57950568.0,0.090156
1.0,12036654.0,8627917.0,58893297.0,2631354.0,21454186.0,58828813.0,0.091431
1.0,12308146.0,8867155.0,57748657.0,2044838.0,18341296.0,57672661.0,0.089584
1.0,12356178.0,8745332.0,60449493.0,2677236.0,21983538.0,60374414.0,0.093699
1.0,11864291.0,8584519.0,57847216.0,2536267.0,20831422.0,57788655.0,0.089838
1.0,12449146.0,8736449.0,61990719.0,2947545.0,23650799.0,61916873.0,0.096266
1.0,12566461.0,8742863.0,63116020.0,3100829.0,24623186.0,63045658.0,0.098018
1.0,12134106.0,6072178.0,84920867.0,6075338.0,84924217.0,84899734.0,0.199808
1.0,12154890.0,6078932.0,85069178.0,6082069.0,85072074.0,85051536.0,0.200269
1.0,12160266.0,6080626.0,85115403.0,6088412.0,85118059.0,85101681.0,0.200384
1.0,12161678.0,6081119.0,85126670.0,6089170.0,85129578.0,85110458.0,0.2004
1.0,12163238.0,6082121.0,85134995.0,6089509.0,85137684.0,85120150.0,0.200428
1.0,12165165.0,6083103.0,85147970.0,6090309.0,85150625.0,85132976.0,0.200459
1.0,12141074.0,6071130.0,84978512.0,6078202.0,84981280.0,84962315.0,0.200055
1.0,12158265.0,6079811.0,85098715.0,6086630.0,85101401.0,85083144.0,0.20034
1.0,11716572.0,115288.0,52311951.0,4168770.0,32926657.0,52243886.0,0.081791
1.0,11911588.0,97388.0,55655182.0,4811637.0,36494855.0,55598389.0,0.088007
1.0,11857543.0,97685.0,54967682.0,4693183.0,35798004.0,54910506.0,0.086837
1.0,11917617.0,97460.0,55635541.0,4802325.0,36453858.0,55579209.0,0.088003
1.0,11986368.0,97512.0,56025038.0,4834941.0,36738536.0,55968333.0,0.088307
1.0,11906625.0,97454.0,55135948.0,4672229.0,35845978.0,55082630.0,0.086957
1.0,12046376.0,97358.0,57148977.0,5023599.0,37930058.0,57097472.0,0.090528
1.0,11685226.0,98692.0,54289471.0,4621351.0,35395087.0,54234901.0,0.087196
2.0,48446.0,29908.0,329670.0,36368.0,341863.0,294264.0,0.52958
2.0,33812.0,18523.0,226659.0,24066.0,236645.0,201726.0,0.535062
2.0,33241.0,17987.0,225679.0,23680.0,235228.0,202113.0,0.577484
2.0,133368517.0,32484469.0,799647256.0,104326220.0,874284671.0,424104467.0,0.904169
2.0,33118.0,17907.0,222720.0,23410.0,232450.0,198827.0,0.552299
2.0,33069.0,17922.0,222748.0,23469.0,232377.0,198827.0,0.549201
2.0,34341.0,18629.0,233399.0,24633.0,243328.0,208298.0,0.543105
2.0,34041.0,18604.0,230031.0,24390.0,240041.0,205012.0,0.592712
2.0,16201325.0,1727728.0,118123259.0,13948576.0,122267754.0,75199579.0,0.321375
2.0,16091386.0,1719623.0,116955215.0,13768746.0,121059921.0,74092230.0,0.315636
2.0,15598307.0,1973130.0,110674091.0,12645572.0,114614089.0,67549788.0,0.279734
2.0,15910816.0,1721841.0,114540264.0,13339544.0,118689988.0,71484689.0,0.304296
2.0,15435149.0,1822071.0,107983476.0,12200285.0,112159472.0,64967742.0,0.275573
2.0,15953119.0,1817292.0,114337911.0,13245778.0,118387164.0,70998324.0,0.299304
2.0,16432767.0,1726604.0,120804311.0,14387269.0,124946607.0,77784530.0,0.330597
2.0,16226018.0,1723633.0,118192676.0,13941180.0,122349714.0,75084672.0,0.320764
2.0,63595.0,39556.0,431914.0,47455.0,438211.0,397046.0,0.310822
2.0,43977.0,24139.0,293328.0,31012.0,298242.0,271334.0,0.361674
2.0,44737.0,24291.0,302519.0,31712.0,307291.0,280262.0,0.342351
2.0,119620947.0,31008040.0,713461278.0,96673078.0,742495073.0,424178935.0,0.667944
2.0,43392.0,23587.0,290960.0,30517.0,295784.0,269613.0,0.342582
2.0,43461.0,23666.0,291520.0,30606.0,296255.0,269613.0,0.316016
2.0,44740.0,24332.0,302739.0,31739.0,307525.0,280262.0,0.324818
2.0,44293.0,24245.0,297732.0,31351.0,302621.0,275798.0,0.324836
2.0,7209555.0,146654.0,36934519.0,3626024.0,29333650.0,34384922.0,0.105955
2.0,7258376.0,149048.0,37502549.0,3719845.0,29866359.0,34812302.0,0.107506
2.0,7272468.0,150923.0,37586542.0,3726138.0,29919663.0,34847850.0,0.107635
2.0,7289880.0,147386.0,37634535.0,3734970.0,29990132.0,34965592.0,0.107937
2.0,7249057.0,142266.0,37209522.0,3662271.0,29562780.0,34623373.0,0.106806
2.0,7252665.0,144011.0,37190628.0,3649623.0,29510592.0,34587357.0,0.106717
2.0,7252114.0,146423.0,37214676.0,3650570.0,29520302.0,34567364.0,0.106706
