model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc,hit,L1Icache,L1Dcache,L2cache,pipelinewidth
2,16256350,1731426,118390498,13981500,122475467,75244414,0.218013,13559139,32768,524288,1048576,8
2,15339881,1981503,107153062,12037116,111069659,63836855,0.178411,12850574,32768,524288,1048576,8
2,15975848,1723877,115065844,13424260,119208401,71917325,0.208639,13297457,32768,524288,1048576,8
2,15520853,1834050,108479715,12254978,112650271,65173933,0.188601,12938875,32768,524288,1048576,8
2,15801650,1825123,112102892,12857900,116135633,68561044,0.196079,13107224,32768,524288,1048576,8
2,16092080,1733716,116325224,13630801,120458985,73168337,0.212188,13423852,32768,524288,1048576,8
2,16412598,1729908,120298501,14293671,124439445,77137133,0.223965,13744024,32768,524288,1048576,8
2,50113729,5448308,220250021,2155195,55486511,220005127,1.276214,37544867,32768,524288,1048576,8
2,54525314,5613927,238817907,2205714,58968441,238764776,1.577985,40924038,32768,524288,1048576,8
2,51156445,5910229,225263196,2203345,56804108,225201389,1.024455,38241809,32768,524288,1048576,8
2,53372600,5900300,234482866,2228934,58557822,234424516,1.157896,39939328,32768,524288,1048576,8
2,49958230,5471414,219582774,2129690,55080597,219524618,1.158514,37110238,32768,524288,1048576,8
2,50627346,5563852,222515521,2150097,55779969,222457100,1.146632,37601061,32768,524288,1048576,8
2,50999273,5964113,222377609,1618276,52895688,222321064,0.996195,38123243,32768,524288,1048576,8
2,50347959,5600112,221404248,2149441,55601382,221346655,1.098833,37438780,32768,524288,1048576,8
2,8339900,757468,46195603,4114503,44126914,28149330,0.067905,7885151,32768,524288,1048576,8
2,8372718,748040,46640242,4214583,44567417,28647480,0.06902,7916617,32768,524288,1048576,8
2,8414395,749430,46865528,4240432,44790201,28759170,0.069286,7946702,32768,524288,1048576,8
2,8392434,750969,46663434,4194303,44581844,28571567,0.068898,7921361,32768,524288,1048576,8
2,8389994,825853,46375784,4112161,44183022,28141306,0.06797,7905239,32768,524288,1048576,8
2,8385070,750824,46432132,4141007,44358539,28282216,0.068334,7925687,32768,524288,1048576,8
2,8393092,753036,46468305,4137648,44385189,28291162,0.068354,7930493,32768,524288,1048576,8
2,8381621,752311,46408862,4130331,44324211,28252927,0.068268,7907382,32768,524288,1048576,8
2,44075424,93022,84750898,4185147,55497247,52124247,0.208795,4131722,32768,524288,1048576,8
2,43321693,81748,83976876,4248900,55334047,51990786,0.208523,4123697,32768,524288,1048576,8
2,43709717,83740,85761912,4469376,57130463,53584602,0.215913,4214658,32768,524288,1048576,8
2,43821217,83963,85883149,4477110,57149959,53567436,0.216158,4265780,32768,524288,1048576,8
2,43681954,82986,82632105,3884696,53222491,50243331,0.200827,3980790,32768,524288,1048576,8
2,44108011,83796,86222235,4462112,57263528,53679723,0.216079,4264593,32768,524288,1048576,8
2,43914255,83571,86134743,4480107,57330525,53806830,0.216606,4244274,32768,524288,1048576,8
2,43460835,84249,85123587,4437226,56585044,53065746,0.216966,4251966,32768,524288,1048576,8
2,12135251,6071157,84933814,6073519,84936350,84916770,0.288564,17809119,32768,524288,1048576,8
